Date,Open,High,Low,Close,Volume
2021-01-04,105.0,108.0,103.0,105.0,4392900
2021-01-05,105.0,114.0,104.0,108.0,12896700
2021-01-06,108.0,112.0,105.0,107.0,6144200
2021-01-07,107.0,108.0,105.0,106.0,4499300
2021-01-08,106.0,106.0,104.0,104.0,5318200
2021-01-11,104.0,104.0,102.0,103.0,7122600
2021-01-12,104.0,107.0,103.0,106.0,4661800
2021-01-13,106.0,107.0,102.0,103.0,4662600
2021-01-14,104.0,106.0,102.0,103.0,4280200
2021-01-15,103.0,104.0,101.0,102.0,4862000
2021-01-18,102.0,102.0,100.0,102.0,2332200
2021-01-19,102.0,103.0,97.0,97.0,6429000
2021-01-20,97.0,100.0,97.0,99.0,2822100
2021-01-21,100.0,101.0,99.0,100.0,1950300
2021-01-22,101.0,101.0,96.0,97.0,3705100
2021-01-25,97.0,98.0,91.0,94.0,2577600
2021-01-26,94.0,95.0,90.0,93.0,2777700
2021-01-27,93.0,93.0,89.0,89.0,7259700
2021-01-28,89.0,90.0,85.0,86.0,5355500
2021-01-29,98.0,116.0,91.0,116.0,199118400
2021-02-01,120.0,148.0,119.0,139.0,259235500
2021-02-02,138.0,139.0,130.0,130.0,6839900
2021-02-03,122.0,125.0,121.0,121.0,1496000
2021-02-04,120.0,129.0,113.0,115.0,42439100
2021-02-05,116.0,119.0,111.0,113.0,7481300
2021-02-08,114.0,118.0,113.0,115.0,4451800
2021-02-09,115.0,121.0,114.0,115.0,4337800
2021-02-10,117.0,134.0,114.0,129.0,42665200
2021-02-11,131.0,133.0,124.0,126.0,8356400
2021-02-15,127.0,128.0,120.0,122.0,5932200
2021-02-16,123.0,130.0,118.0,120.0,4119700
2021-02-17,120.0,123.0,113.0,114.0,5482900
2021-02-18,114.0,120.0,114.0,119.0,5390100
2021-02-19,120.0,130.0,118.0,119.0,20511400
2021-02-22,122.0,125.0,119.0,120.0,5500500
2021-02-23,120.0,121.0,117.0,119.0,3544200
2021-02-24,119.0,121.0,118.0,119.0,3874900
2021-02-25,119.0,122.0,114.0,118.0,3673300
2021-02-26,117.0,129.0,116.0,128.0,23771900
2021-03-01,129.0,138.0,127.0,135.0,37226200
2021-03-02,136.0,182.0,127.0,182.0,96836600
2021-03-03,200.0,216.0,170.0,182.0,153317200
2021-03-04,182.0,190.0,171.0,180.0,30108100
2021-03-05,178.0,236.0,177.0,220.0,178133400
2021-03-08,224.0,252.0,210.0,252.0,90758500
2021-03-09,258.0,276.0,236.0,252.0,115886300
2021-03-10,252.0,262.0,240.0,254.0,19105400
2021-03-12,260.0,288.0,256.0,260.0,62204700
2021-03-15,260.0,268.0,242.0,256.0,26862700
2021-03-16,250.0,262.0,248.0,248.0,10839100
2021-03-17,248.0,258.0,242.0,250.0,18563800
2021-03-18,250.0,284.0,248.0,266.0,180750100
2021-03-19,268.0,276.0,254.0,276.0,109358500
2021-03-22,276.0,282.0,258.0,260.0,64856200
2021-03-23,260.0,264.0,250.0,254.0,18570700
2021-03-24,254.0,254.0,238.0,242.0,25318300
2021-03-25,240.0,252.0,226.0,230.0,49170200
2021-03-26,230.0,236.0,222.0,234.0,13182800
2021-03-29,236.0,236.0,228.0,234.0,8136700
2021-03-30,232.0,258.0,228.0,256.0,66637300
2021-03-31,258.0,260.0,240.0,254.0,45689000
2021-04-01,254.0,298.0,248.0,298.0,151560600
2021-04-05,300.0,364.0,294.0,362.0,274865200
2021-04-06,380.0,440.0,354.0,430.0,397281100
2021-04-07,440.0,492.0,422.0,484.0,193150800
2021-04-08,484.0,515.0,470.0,470.0,95789000
2021-04-09,470.0,585.0,438.0,585.0,237156200
2021-04-12,585.0,585.0,585.0,585.0,0
2021-04-13,590.0,665.0,545.0,600.0,126817800
2021-04-14,600.0,740.0,585.0,665.0,190968700
2021-04-15,675.0,730.0,635.0,675.0,87939600
2021-04-16,680.0,725.0,665.0,705.0,47339600
2021-04-19,710.0,710.0,660.0,665.0,43378500
2021-04-20,640.0,710.0,635.0,690.0,38934200
2021-04-21,680.0,690.0,670.0,690.0,16118600
2021-04-22,695.0,860.0,695.0,860.0,183262800
2021-04-23,860.0,860.0,860.0,860.0,0
2021-04-26,860.0,860.0,860.0,860.0,0
2021-04-27,860.0,860.0,860.0,860.0,0
2021-04-28,860.0,860.0,860.0,860.0,0
2021-04-29,860.0,860.0,860.0,860.0,0
2021-04-30,860.0,860.0,860.0,860.0,0
2021-05-03,860.0,910.0,800.0,815.0,163752000
2021-05-04,815.0,840.0,760.0,805.0,93591200
2021-05-05,810.0,840.0,785.0,795.0,55336600
2021-05-06,805.0,810.0,740.0,775.0,95881700
2021-05-07,770.0,840.0,750.0,785.0,105492900
2021-05-10,785.0,875.0,785.0,870.0,168249400
2021-05-11,870.0,885.0,820.0,855.0,124546200
2021-05-17,980.0,990.0,855.0,925.0,242440200
2021-05-18,925.0,1110.0,885.0,1055.0,345790800
2021-05-19,1055.0,1090.0,985.0,1055.0,189585000
2021-05-20,1030.0,1070.0,995.0,1055.0,62824400
2021-05-21,1060.0,1105.0,1030.0,1100.0,72515500
2021-05-24,1100.0,1180.0,1095.0,1155.0,110343900
2021-05-25,1160.0,1165.0,1110.0,1150.0,91459700
2021-05-27,1150.0,1155.0,1070.0,1110.0,67474400
2021-05-28,1110.0,1125.0,1035.0,1060.0,99365700
2021-05-31,1040.0,1095.0,1015.0,1085.0,45622600
2021-06-02,1085.0,1125.0,1065.0,1105.0,62426500
2021-06-03,1110.0,1210.0,1095.0,1145.0,143000600
2021-06-04,1145.0,1170.0,1110.0,1130.0,118469800
2021-06-07,1135.0,1165.0,1080.0,1145.0,116541000
2021-06-08,1145.0,1240.0,1140.0,1210.0,173624200
2021-06-09,1205.0,1275.0,1155.0,1235.0,242724600
2021-06-10,1240.0,1245.0,1200.0,1225.0,55226800
2021-06-11,1225.0,1255.0,1200.0,1225.0,64818700
2021-06-14,1230.0,1250.0,1200.0,1215.0,45239500
2021-06-15,1210.0,1230.0,1130.0,1150.0,81929600
2021-06-16,1140.0,1150.0,1070.0,1100.0,121322800
2021-06-17,1105.0,1130.0,1025.0,1025.0,55916100
2021-06-18,975.0,1065.0,955.0,1065.0,99642400
2021-06-21,1065.0,1085.0,1005.0,1080.0,30325800
2021-06-22,1085.0,1100.0,1060.0,1090.0,24028600
2021-06-23,1090.0,1090.0,1030.0,1060.0,16021400
2021-06-24,1060.0,1085.0,1040.0,1060.0,16361300
2021-06-25,1060.0,1080.0,1015.0,1050.0,23984100
