Date,Open,High,Low,Close,Volume
2021-01-04,267.8477478027344,267.8477478027344,267.8477478027344,267.8477478027344,100
2021-01-05,252.9673309326172,333.7467956542969,252.9673309326172,263.59619140625,7400
2021-01-06,246.58999633789062,327.3694763183594,246.58999633789062,246.58999633789062,3000
2021-01-07,246.58999633789062,306.1117248535156,246.58999633789062,297.6086120605469,5400
2021-01-08,280.6024169921875,372.0107727050781,278.47662353515625,280.6024169921875,4400
2021-01-11,280.6024169921875,350.7530212402344,263.59619140625,350.7530212402344,10600
2021-01-12,350.7530212402344,350.7530212402344,329.4952697753906,329.4952697753906,31000
2021-01-13,310.36328125,327.3694763183594,310.36328125,327.3694763183594,1400
2021-01-14,308.23748779296875,308.23748779296875,308.23748779296875,308.23748779296875,2600
2021-01-15,308.23748779296875,382.6396484375,308.23748779296875,308.23748779296875,600
2021-01-18,308.23748779296875,384.76544189453125,286.979736328125,374.1365661621094,7300
2021-01-19,374.1365661621094,378.3880920410156,352.8787841796875,352.8787841796875,60400
2021-01-20,352.8787841796875,352.8787841796875,329.4952697753906,329.4952697753906,300
2021-01-21,308.23748779296875,384.76544189453125,308.23748779296875,308.23748779296875,22600
2021-01-22,308.23748779296875,382.6396484375,286.979736328125,369.885009765625,87400
2021-01-25,378.3880920410156,459.1675720214844,344.3757019042969,389.0169677734375,39100
2021-01-26,389.0169677734375,389.0169677734375,365.6334533691406,365.6334533691406,4100
2021-01-27,365.6334533691406,365.6334533691406,365.6334533691406,365.6334533691406,100
2021-01-28,365.6334533691406,365.6334533691406,340.1241455078125,340.1241455078125,500
2021-01-29,335.8725891113281,335.8725891113281,316.7406005859375,316.7406005859375,1900
2021-02-01,295.48284912109375,295.48284912109375,295.48284912109375,295.48284912109375,1000
2021-02-02,295.48284912109375,295.48284912109375,276.3508605957031,276.3508605957031,27600
2021-02-03,276.3508605957031,276.3508605957031,257.2188720703125,257.2188720703125,7600
2021-02-04,257.2188720703125,257.2188720703125,240.21267700195312,240.21267700195312,6400
2021-02-05,240.21267700195312,240.21267700195312,225.33224487304688,225.33224487304688,2100
2021-02-08,225.33224487304688,259.34466552734375,210.87696838378906,240.21267700195312,11700
2021-02-09,259.34466552734375,293.3570556640625,225.33224487304688,265.72198486328125,19800
2021-02-10,261.4704284667969,267.8477478027344,248.7157745361328,248.7157745361328,3500
2021-02-11,248.7157745361328,297.6086120605469,231.70956420898438,265.72198486328125,3800
2021-02-15,248.7157745361328,263.59619140625,248.7157745361328,248.7157745361328,14500
2021-02-16,248.7157745361328,248.7157745361328,231.70956420898438,233.83534240722656,900
2021-02-17,248.7157745361328,248.7157745361328,231.70956420898438,238.08689880371094,4800
2021-02-18,233.83534240722656,233.83534240722656,231.70956420898438,231.70956420898438,2400
2021-02-19,231.70956420898438,269.9735412597656,231.70956420898438,255.09310913085938,4200
2021-02-22,267.8477478027344,316.7406005859375,238.08689880371094,240.21267700195312,25500
2021-02-23,240.21267700195312,299.7344055175781,225.33224487304688,278.47662353515625,18600
2021-02-24,278.47662353515625,295.48284912109375,261.4704284667969,286.979736328125,19800
2021-02-25,286.979736328125,286.979736328125,272.09930419921875,272.09930419921875,3200
2021-02-26,272.09930419921875,289.10552978515625,255.09310913085938,255.09310913085938,2000
2021-03-01,242.33843994140625,276.3508605957031,238.08689880371094,242.33843994140625,8600
2021-03-02,242.33843994140625,263.59619140625,238.08689880371094,259.34466552734375,4400
2021-03-03,259.34466552734375,259.34466552734375,244.46421813964844,244.46421813964844,1000
2021-03-04,246.58999633789062,248.7157745361328,246.58999633789062,248.7157745361328,1000
2021-03-05,233.83534240722656,233.83534240722656,233.83534240722656,233.83534240722656,200
2021-03-08,225.33224487304688,225.33224487304688,225.33224487304688,225.33224487304688,100
2021-03-09,229.5837860107422,265.72198486328125,216.82913208007812,265.72198486328125,1100
2021-03-10,263.59619140625,272.09930419921875,263.59619140625,272.09930419921875,1400
2021-03-12,272.09930419921875,282.7281799316406,272.09930419921875,272.09930419921875,1900
2021-03-15,272.09930419921875,278.47662353515625,255.09310913085938,255.09310913085938,500
2021-03-16,255.09310913085938,284.8539733886719,242.33843994140625,244.46421813964844,2000
2021-03-17,276.3508605957031,301.86016845703125,229.5837860107422,269.9735412597656,77500
2021-03-18,252.9673309326172,267.8477478027344,252.9673309326172,252.9673309326172,4100
2021-03-19,252.9673309326172,255.09310913085938,235.96112060546875,235.96112060546875,9600
2021-03-22,225.33224487304688,225.33224487304688,221.0806884765625,221.0806884765625,8200
2021-03-23,221.0806884765625,255.09310913085938,212.5775909423828,223.2064666748047,17600
2021-03-24,244.46421813964844,274.22509765625,208.32603454589844,242.33843994140625,46900
2021-03-25,263.59619140625,263.59619140625,227.45802307128906,244.46421813964844,4900
2021-03-26,242.33843994140625,301.86016845703125,242.33843994140625,297.6086120605469,14900
2021-03-29,299.7344055175781,361.38189697265625,280.6024169921875,295.48284912109375,13800
2021-03-30,295.48284912109375,295.48284912109375,276.3508605957031,276.3508605957031,800
2021-03-31,276.3508605957031,276.3508605957031,257.2188720703125,269.9735412597656,1400
2021-04-01,291.2312927246094,291.2312927246094,252.9673309326172,289.10552978515625,7200
2021-04-05,306.1117248535156,306.1117248535156,284.8539733886719,284.8539733886719,200
