Date,Open,High,Low,Close,Volume
2022-05-25,35.0,37.0,35.0,37.0,292800
2022-05-27,37.0,37.0,36.0,37.0,336300
2022-05-30,36.0,37.0,35.0,37.0,831700
2022-05-31,36.0,37.0,35.0,35.0,435100
2022-06-02,35.0,37.0,35.0,37.0,414600
2022-06-03,37.0,37.0,36.0,37.0,543400
2022-06-06,37.0,37.0,36.0,36.0,112900
2022-06-07,36.0,37.0,36.0,37.0,557700
2022-06-08,37.0,37.0,36.0,37.0,234500
2022-06-09,37.0,37.0,36.0,37.0,327700
2022-06-10,37.0,37.0,36.0,37.0,136500
2022-06-13,37.0,38.0,36.0,36.0,1361500
2022-06-14,36.0,38.0,36.0,37.0,387600
2022-06-15,37.0,38.0,36.0,37.0,134300
2022-06-16,37.0,40.0,36.0,37.0,2054400
2022-06-17,38.0,38.0,36.0,38.0,1091000
2022-06-20,37.0,38.0,36.0,38.0,325700
2022-06-21,37.0,38.0,36.0,38.0,365500
2022-06-22,37.0,38.0,36.0,37.0,563600
2022-06-23,37.0,38.0,36.0,37.0,639100
2022-06-24,37.0,38.0,36.0,36.0,581100
2022-06-27,37.0,38.0,36.0,37.0,71100
2022-06-28,38.0,38.0,36.0,37.0,209800
2022-06-29,37.0,39.0,37.0,38.0,318800
2022-06-30,38.0,39.0,37.0,38.0,56400
2022-07-01,38.0,38.0,36.0,37.0,194600
2022-07-04,36.0,38.0,36.0,37.0,83400
2022-07-05,37.0,38.0,37.0,37.0,167600
2022-07-06,39.0,39.0,36.0,38.0,95400
2022-07-07,38.0,38.0,37.0,37.0,299600
2022-07-08,37.0,37.0,36.0,37.0,967900
2022-07-11,37.0,37.0,36.0,37.0,31600
2022-07-12,37.0,37.0,36.0,37.0,53400
2022-07-13,37.0,37.0,36.0,37.0,339600
2022-07-14,37.0,37.0,36.0,37.0,520100
2022-07-15,37.0,37.0,36.0,36.0,380800
2022-07-18,37.0,37.0,35.0,37.0,220800
2022-07-19,37.0,37.0,36.0,37.0,61100
2022-07-20,36.0,37.0,35.0,36.0,642200
2022-07-21,36.0,36.0,35.0,36.0,268600
2022-07-22,35.0,36.0,35.0,36.0,78300
2022-07-25,36.0,37.0,36.0,37.0,165900
2022-07-26,37.0,37.0,36.0,36.0,213700
2022-07-27,36.0,37.0,36.0,36.0,139200
2022-07-28,36.0,37.0,36.0,36.0,732400
2022-07-29,37.0,37.0,36.0,37.0,306800
2022-08-01,37.0,37.0,35.0,36.0,112900
2022-08-02,36.0,37.0,36.0,36.0,313200
2022-08-03,37.0,37.0,35.0,37.0,277500
2022-08-04,36.0,37.0,35.0,37.0,487800
